"generation_unit_id","source_construction_id","unit_type","amendment_number","amendment_roman","section_number","atom_count","atom_ids","source_construction_text","context_required","source_exact","reconstruction_status","adjudication_status","mechanism_count","primary_family","secondary_family","normalized_mechanism_plan","negative_condition_plan","jurisdiction_scope_plan","reviewer_note","orynth_mapping_status","correspondence_grade"
"US-AM-MECH-UNIT-000012","US-AM-ATOM-CAND-000012","UNIT-CONSTRUCTION","12","XII","","15","US-AM-ATOM-000031|US-AM-ATOM-000032|US-AM-ATOM-000033|US-AM-ATOM-000034|US-AM-ATOM-000035|US-AM-ATOM-000036|US-AM-ATOM-000037|US-AM-ATOM-000038|US-AM-ATOM-000039|US-AM-ATOM-000040|US-AM-ATOM-000041|US-AM-ATOM-000042|US-AM-ATOM-000043|US-AM-ATOM-000044|US-AM-ATOM-000045","The Electors shall meet in their respective states and vote by ballot for President and Vice-President, one of whom, at least, shall not be an inhabitant of the same state with themselves; they shall name in their ballots the person voted for as President, and in distinct ballots the person voted for as Vice-President, and they shall make distinct lists of all persons voted for as President, and of all persons voted for as Vice-President, and of the number of votes for each, which lists they shall sign and certify, and transmit sealed to the seat of the government of the United States, directed to the President of the Senate; -- the President of the Senate shall, in the presence of the Senate and House of Representatives, open all the certificates and the votes shall then be counted; -- The person having the greatest number of votes for President, shall be the President, if such number be a majority of the whole number of Electors appointed; and if no person have such majority, then from the persons having the highest numbers not exceeding three on the list of those voted for as President, the House of Representatives shall choose immediately, by ballot, the President. But in choosing the President, the votes shall be taken by states, the representation from each state having one vote; a quorum for this purpose shall consist of a member or members from two-thirds of the states, and a majority of all the states shall be necessary to a choice. [And if the House of Representatives shall not choose a President whenever the right of choice shall devolve upon them, before the fourth day of March next following, then the Vice-President shall act as President, as in the case of the death or other constitutional disability of the President. --]* The person having the greatest number of votes as Vice-President, shall be the Vice-President, if such number be a majority of the whole number of Electors appointed, and if no person have a majority, then from the two highest numbers on the list, the Senate shall choose the Vice-President; a quorum for the purpose shall consist of two-thirds of the whole number of Senators, and a majority of the whole number shall be necessary to a choice. But no person constitutionally ineligible to the office of President shall be eligible to that of Vice-President of the United States.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000013","US-AM-ATOM-CAND-000013","UNIT-CONSTRUCTION","13","XIII","1","2","US-AM-ATOM-000046|US-AM-ATOM-000047","Neither slavery nor involuntary servitude, except as a punishment for crime whereof the party shall have been duly convicted, shall exist within the United States, or any place subject to their jurisdiction.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000014","US-AM-ATOM-CAND-000014","UNIT-ATOM","13","XIII","2","1","US-AM-ATOM-000048","Congress shall have power to enforce this article by appropriate legislation.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000015","US-AM-ATOM-CAND-000015","UNIT-CONSTRUCTION","14","XIV","1","4","US-AM-ATOM-000049|US-AM-ATOM-000050|US-AM-ATOM-000051|US-AM-ATOM-000052","All persons born or naturalized in the United States, and subject to the jurisdiction thereof, are citizens of the United States and of the State wherein they reside. No State shall make or enforce any law which shall abridge the privileges or immunities of citizens of the United States; nor shall any State deprive any person of life, liberty, or property, without due process of law; nor deny to any person within its jurisdiction the equal protection of the laws.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000016","US-AM-ATOM-CAND-000016","UNIT-CONSTRUCTION","14","XIV","2","2","US-AM-ATOM-000053|US-AM-ATOM-000054","Representatives shall be apportioned among the several States according to their respective numbers, counting the whole number of persons in each State, excluding Indians not taxed. But when the right to vote at any election for the choice of electors for President and Vice-President of the United States, Representatives in Congress, the Executive and Judicial officers of a State, or the members of the Legislature thereof, is denied to any of the male inhabitants of such State, being twenty-one years of age,* and citizens of the United States, or in any way abridged, except for participation in rebellion, or other crime, the basis of representation therein shall be reduced in the proportion which the number of such male citizens shall bear to the whole number of male citizens twenty-one years of age in such State.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000017","US-AM-ATOM-CAND-000017","UNIT-CONSTRUCTION","14","XIV","3","2","US-AM-ATOM-000055|US-AM-ATOM-000056","No person shall be a Senator or Representative in Congress, or elector of President and Vice-President, or hold any office, civil or military, under the United States, or under any State, who, having previously taken an oath, as a member of Congress, or as an officer of the United States, or as a member of any State legislature, or as an executive or judicial officer of any State, to support the Constitution of the United States, shall have engaged in insurrection or rebellion against the same, or given aid or comfort to the enemies thereof. But Congress may by a vote of two-thirds of each House, remove such disability.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000018","US-AM-ATOM-CAND-000018","UNIT-CONSTRUCTION","14","XIV","4","3","US-AM-ATOM-000057|US-AM-ATOM-000058|US-AM-ATOM-000059","The validity of the public debt of the United States, authorized by law, including debts incurred for payment of pensions and bounties for services in suppressing insurrection or rebellion, shall not be questioned. But neither the United States nor any State shall assume or pay any debt or obligation incurred in aid of insurrection or rebellion against the United States, or any claim for the loss or emancipation of any slave; but all such debts, obligations and claims shall be held illegal and void.","TRUE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000019","US-AM-ATOM-CAND-000019","UNIT-ATOM","14","XIV","5","1","US-AM-ATOM-000060","The Congress shall have power to enforce, by appropriate legislation, the provisions of this article.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000020","US-AM-ATOM-CAND-000020","UNIT-ATOM","15","XV","1","1","US-AM-ATOM-000061","The right of citizens of the United States to vote shall not be denied or abridged by the United States or by any State on account of race, color, or previous condition of servitude--","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
"US-AM-MECH-UNIT-000021","US-AM-ATOM-CAND-000021","UNIT-ATOM","15","XV","2","1","US-AM-ATOM-000062","The Congress shall have power to enforce this article by appropriate legislation.","FALSE","TRUE","PASS","PENDING","","","","","","","","UNASSESSED","UNASSESSED"
