"segment_id","amendment_number","amendment_roman","source_object_id","source_path","source_line","amendment_segment_ordinal","section_number","segment_class","source_text","extraction_status","interpretation_status"
"US-AM-SEG-000023","11","XI","CONST.AMENDMENT.11","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","374","3","","EDITORIAL_NOTE","Note: Article III, section 2, of the Constitution was modified by amendment 11.","EXTRACTED","NONE"
"US-AM-SEG-000024","11","XI","CONST.AMENDMENT.11","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","376","4","","OPERATIVE_TEXT","The Judicial power of the United States shall not be construed to extend to any suit in law or equity, commenced or prosecuted against one of the United States by Citizens of another State, or by Citizens or Subjects of any Foreign State.","EXTRACTED","NONE"
"US-AM-SEG-000025","12","XII","CONST.AMENDMENT.12","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","378","1","","HEADING","AMENDMENT XII","EXTRACTED","NONE"
"US-AM-SEG-000026","12","XII","CONST.AMENDMENT.12","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","380","2","","RATIFICATION_METADATA","Passed by Congress December 9, 1803. Ratified June 15, 1804.","EXTRACTED","NONE"
"US-AM-SEG-000027","12","XII","CONST.AMENDMENT.12","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","382","3","","EDITORIAL_NOTE","Note: A portion of Article II, section 1 of the Constitution was superseded by the 12th amendment.","EXTRACTED","NONE"
"US-AM-SEG-000028","12","XII","CONST.AMENDMENT.12","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","384","4","","OPERATIVE_TEXT","The Electors shall meet in their respective states and vote by ballot for President and Vice-President, one of whom, at least, shall not be an inhabitant of the same state with themselves; they shall name in their ballots the person voted for as President, and in distinct ballots the person voted for as Vice-President, and they shall make distinct lists of all persons voted for as President, and of all persons voted for as Vice-President, and of the number of votes for each, which lists they shall sign and certify, and transmit sealed to the seat of the government of the United States, directed to the President of the Senate; -- the President of the Senate shall, in the presence of the Senate and House of Representatives, open all the certificates and the votes shall then be counted; -- The person having the greatest number of votes for President, shall be the President, if such number be a majority of the whole number of Electors appointed; and if no person have such majority, then from the persons having the highest numbers not exceeding three on the list of those voted for as President, the House of Representatives shall choose immediately, by ballot, the President. But in choosing the President, the votes shall be taken by states, the representation from each state having one vote; a quorum for this purpose shall consist of a member or members from two-thirds of the states, and a majority of all the states shall be necessary to a choice. [And if the House of Representatives shall not choose a President whenever the right of choice shall devolve upon them, before the fourth day of March next following, then the Vice-President shall act as President, as in the case of the death or other constitutional disability of the President. --]* The person having the greatest number of votes as Vice-President, shall be the Vice-President, if such number be a majority of the whole number of Electors appointed, and if no person have a majority, then from the two highest numbers on the list, the Senate shall choose the Vice-President; a quorum for the purpose shall consist of two-thirds of the whole number of Senators, and a majority of the whole number shall be necessary to a choice. But no person constitutionally ineligible to the office of President shall be eligible to that of Vice-President of the United States.","EXTRACTED","NONE"
"US-AM-SEG-000029","12","XII","CONST.AMENDMENT.12","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","386","5","","EDITORIAL_NOTE","*Superseded by section 3 of the 20th amendment.","EXTRACTED","NONE"
"US-AM-SEG-000030","13","XIII","CONST.AMENDMENT.13","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","388","1","","HEADING","AMENDMENT XIII","EXTRACTED","NONE"
"US-AM-SEG-000031","13","XIII","CONST.AMENDMENT.13","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","390","2","","RATIFICATION_METADATA","Passed by Congress January 31, 1865. Ratified December 6, 1865.","EXTRACTED","NONE"
"US-AM-SEG-000032","13","XIII","CONST.AMENDMENT.13","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","392","3","","EDITORIAL_NOTE","Note: A portion of Article IV, section 2, of the Constitution was superseded by the 13th amendment.","EXTRACTED","NONE"
"US-AM-SEG-000033","13","XIII","CONST.AMENDMENT.13","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","394","4","1","SECTION_LABEL","Section 1.","EXTRACTED","NONE"
"US-AM-SEG-000034","13","XIII","CONST.AMENDMENT.13","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","396","5","1","OPERATIVE_TEXT","Neither slavery nor involuntary servitude, except as a punishment for crime whereof the party shall have been duly convicted, shall exist within the United States, or any place subject to their jurisdiction.","EXTRACTED","NONE"
"US-AM-SEG-000035","13","XIII","CONST.AMENDMENT.13","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","398","6","2","SECTION_LABEL","Section 2.","EXTRACTED","NONE"
"US-AM-SEG-000036","13","XIII","CONST.AMENDMENT.13","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","400","7","2","OPERATIVE_TEXT","Congress shall have power to enforce this article by appropriate legislation.","EXTRACTED","NONE"
